title,target
 alcatel a3 xl max dourado 32gb 3gb ram quad-core,1
 alcatel one touch pop c7 branco tela 5 '' dual chip camera 8mp android 4.2 3g processador quad core 1.3 ghz vivo,1
 apple iphone 5c 16gb original apple,1
" apple iphone 8 plus 64gb tela 5,5",1
 asus zenfone 2 ze551ml 4g android 5.0 intel quad core 2.3ghz 16gb camera 13mp tela 5.5 dourado,1
 asus zenfone 3 max zc553kl cinza 32gb tela 5.5 dual chip android 6.0 4g camera 16mp processador octa-core 3gb ram,1
 asus zenfone 3 zoom ze553kl prata 32gb tela 5.5 dual chip android 6.0 4g camera dual 12mp processador octa-core 3gb ram,1
 asus zenfone 3 zoom ze553kl prata 64gb tela 5.5 '' dual chip camera 13mp 4g android 6.0 processador octa-core ram 4gb,1
 asus zenfone 3 zoom ze553kl preto 64gb tela 5.5 dual chip android 6.0 4g camera dual 12mp processador octa-core 4gb ram,1
 asus zenfone 3 zoom ze553kl rosa 64gb tela 5.5 dual chip android 6.0 4g camera dual 12mp processador octa-core 4gb ram,1
 asus zenfone 4 max zc554kl gold 16gb tela 5.5 '' dual chip camera traseira dupla 4g android 7.0 processador quad core 2gb ram,1
 asus zenfone 4 max zc554kl gold 32gb tela 5.5 '' dual chip camera traseira dupla 4g android 7.0 processador octa core 3gb ram,1
 asus zenfone 4 max zc554kl preto 16gb tela 5.5 '' dual chip camera traseira dupla 4g android 7.0 processador quad core 2gb ram,1
 asus zenfone 4 max zc554kl preto 32gb tela 5.5 '' dual chip camera traseira dupla 4g android 7.0 processador octa core 3gb ram,1
 asus zenfone 4 max zc554kl rosa 16gb tela 5.5 '' dual chip camera traseira dupla 4g android 7.0 processador quad core 2gb ram,1
 asus zenfone 4 max zc554kl rosa 32gb tela 5.5 '' dual chip camera traseira dupla 4g android 7.0 processador octa core 3gb ram,1
 asus zenfone 4 selfie pro zd552kl gold 64gb tela 5.5 '' dual chip camera frontal dupla android 7.0 processador octa core 4gb ram,1
 asus zenfone 4 selfie pro zd552kl preto 64gb tela 5.5 '' dual chip camera frontal dupla android 7.0 processador octa core 4gb ram,1
 asus zenfone 4 selfie pro zd552kl vermelho 64gb tela 5.5 '' dual chip camera frontal dupla android 7.0 processador octa core 4gb ram,1
 asus zenfone 4 selfie zd553kl gold 64gb tela 5.5 '' dual chip camera frontal dupla android 7.0 processador octa core 4gb ram,1
 asus zenfone 4 selfie zd553kl preto 64gb tela 5.5 '' dual chip camera frontal dupla android 7.0 processador octa core 4gb ram,1
 asus zenfone 4 selfie zd553kl rose gold 64gb tela 5.5 '' dual chip camera frontal dupla android 7.0 processador octa core 4gb ram,1
 asus zenfone 4 selfie zd553kl verde 64gb tela 5.5 '' dual chip camera frontal dupla android 7.0 processador octa core 4gb ram,1
 asus zenfone 4 ze554kl branco 64gb tela 5.5 '' dual chip camera traseira dupla 4g android 7.0 processador octa core 4gb ram,1
 asus zenfone 4 ze554kl branco 64gb tela 5.5 '' dual chip camera traseira dupla 4g android 7.0 processador octa core 6gb ram,1
 asus zenfone 4 ze554kl preto 64gb tela 5.5 '' dual chip camera traseira dupla 4g android 7.0 processador octa core 4gb ram,1
